inf;pras;prat;perf;trad_fr;hint_fr;trad_eng;hint_eng;
an/fangen;fängt...an;fing...an;hat angefangen;commencer;débuter;to start;to begin;
befehlen;befiehlt;befahl;hat befohlen;ordonner;donner un ordre;to give an order;;
beginnen;beginnt;begann;hat begonnen;commencer;débuter;to start;to begin;
betrügen;betrügt;betrog;hat betrogen;tromper;trahir;to betray;to cheat;
bewerben;bewirbt sich;bewarb sich;hat sich beworben;être candidat;postuler;to apply for;to promote for;
bieten;bietet;bot;hat geboten;offrir;un cadeau;to offer;to give (a present);
bitten;bittet;bat;hat gebeten;demander;invité à;to ask;to request;
bleiben;bleibt;blieb;ist geblieben;rester;demeurer;to stay;to remain;
brechen;bricht;brach;hat gebrochen;briser;(casser/tomber en panne/...);to shatter;(to break/to break down/...);
dürfen;darf;durfte;hat gedurft;avoir l'autorisation de;(quelqu'un/quelquechose);to be authorised to;(do something), may/must/shall;
ein/laden;lädt...ein;lud...ein;hat eingeladen;inviter;convier;to invite;to solicitate;
ein/treten;tritt...ein;trat...ein;ist eingetreten;entrer;pénetrer;to occur;to happen;
empfangen;empfägnt;empfing;hat empfangen;recevoir;(quelquechose);to receive; (a present/a bike/love/a parsel/a pastel/...);
empfehlen;empfiehlt;empfahl;hat empfohlen;recommander;proposer;to recomend;to offer;
empfinden;empfindet;empfand;hat empfunden;ressentir;éprouver;to feel;;
erschrecken;erschrickt;erschrak;ist erschrocken;s'effrayer;;;;
essen;isst;ass;hat gegessen;manger;;;;
fahren;fährt;fuhr;ist gefahren;conduire;;;;
fallen;fällt;fiel;ist gefallen;tomber;;;;
finden;findet;fand;hat gefunden;trouver;;;;
fliegen;fliegt;flog;ist geflogen;voler;(en avion);;;
fliehen;flieht;floh;ist geflohen;s'enfuir;;;;
fliessen;fliesst;floss;ist geflossen;couler;(pour quelqu'un/un bateau/...);to sink;(for a boat/a person/...);
fressen;frisst;frass;hat gefressen;manger;(pour les animaux);;;
frieren;friert;fror;hat gefroren;geler;geler, avoir froid;;;
geben;gibt;gab;hat gegeben;donner;quelquechose;;;
gehen;geht;ging;ist gegangen;aller;à pied;;;
geniessen;geniesst;genoss;hat genossen;jouir de;(profiter de);to enjoy;;
gelingen;gelingt;gelang;ist gelungen;réussir;quelquechose/dans la vie/...;;;
geschehen;geschieht;geschah;ist geschehen;se produire;;to happen;;
gewinnen;gewinnt;gewann;hat gewonnen;gagner;de l'argent;to win;something;
greifen;greift;griff;hat gegriffen;saisir;attraper quelquechose;to acces;to grasp;
haben;hat;hatte;hat gehabt;avoir;(quelquechose/quelqu'un/...);to have;(something/somebody/...);
halten;hält;hielt;hat geahlten;s'arrêter;tenir;to stop;;
hängen;hängt;hing;hat gehangen;accrocher;dépendre de;to hang;to depend on;
heissen;heisst;hiess;hat geheissen;s'appeler;(le nom);to be called;(your name);
helfen;hilft;half;hat geholfen;aider;quelqu'un/quelquechose;to help;something/somebody;
kommen;kommt;kam;ist gekommen;venir;;to come;;
können;kann;konnte;hat gekonnt;pouvoir;(être capable de/avoir le droit);to be able to;(to be authorised to;
kriechen;kriecht;kroch;ist gekrochen;ramper;;to crawl;;
laden;lädt;lud;hat geladen;charger;(télécharger/charger quelquechose);to load;(to download/to upload/...);
lassen;lässt;liess;hat gelassen;laisser;quelquechose;to leave;something;
laufen;läuft;lief;ist gelaufen;courir;;to run;somwhere;
leiden;leidet;litt;hat gelitten;souffrir;;to suffer;;
leihen;leiht;lieh;hat geliehen;prêter;(quelquechose);to lend;(something);
lesen;liest;las;hat gelesen;lire;(ex: un livre);to read;a book;
liegen;liegt;lag;hat gelegen;être couché;allongé;to lie;(down);
lügen;lügt;log;hat gelogen;mentir;;to lie;about something;
mögen;mag;mochte;hat gemocht;aimer;(quelquechose/souhaiter);to like;(to hope);
müssen;muss;musste;hat gemusst;être obligé;(de/à/de faire quelquechose/à aller chez quelqu'un/...);to be obliged to;(to have to go to somebody/to have to do someting);
nehmen;nimmt;nahm;hat genomen;prendre;quelquechose;to take;something;
pfeifen;pfeift;pfiff;hat gepfiffen;siffler;(un air/action de siffler/...);to whistle;(to call you're dog/to whistle a tune/...);
raten;rät;riet;hat geraten;conseiller;quelqu'un/sur quelquechose;to suggest;something (to someody);
reissen;reisst;riss;hat gerissen;ist gerissen;araché;(rusé);snached;(smart);
reiten;reitet;ritt;ist geritten;faire du cheval;(aller à cheval);horse riding;(to ride a horse);
riechen;riecht;roch;hat gerochen;sentir;(Quelque chose);Something;;
rufen;ruft;rief;hat gerufen;appeler;(crier);to call;scream;
scheinen;scheint;schein;hat geschienen;briller;sembler;to appear;to seem;
schiessen;schiesst;schoss;hat geschossen;tirer;(avec une arme);to shoot;;
schliessen;schliesst;schloss;hat geschlossen;fermer;conclure;to end;to conclude;
scheiben;scheibt;schob;hat geschoben;pousser;(quelquechose);to push;(Something);
schlafen;schläft;schlief;hat geschlafen;dormir;;to sleep;;
schlagen;schlägt;schlug;hat geschlagen;battre;quelqu'un, quelquechose;to beat;somthing, sombody;
schneiden;schneidet;schnitt;hat geschnitten;couper;(quelquechose);to cut;(food/something);
schreiben;schreibt;schrieb;hat geschreiben;écrire;;to write;;
schreien;schreit;schrie;hat geschrien;crier;;to shout;;
schreiten;schreitet;schritt;ist geschritten;marcher;;to walk;;
schweigen;schweigt;schwieg;hat geschwiegen;se taire;;to remain silent;keep quiet;
schwimmen;schwimmt;schwamm;ist geschwommen;nager;;to swimm;;
sehen;sieht;sah;hat gesehen;voir;;to see;;
singen;singt;sang;hat gesungen;chanter;;to sing;;
sitzen;sitzt;sass;hat gesessen;être assis;;to sit;;
sprechen;spricht;sprach;hat gesprochen;parler;;to speak;;
springen;springt;sprang;ist gesprungen;sauter;(en l'air);to jump;;
stehen;steht;stand;hat gestanden;être debout;;to stand up;;
stehlen;stiehlt;stahl;hat gestohlen;voler;dérober;to steal;(to rob);
steigen;steigt;stieg;ist gestiegen;monter;;to climb;;
sterben;stirbt;starb;ist gestorben;mourir;;to die;;
streiten;streitet;stritt;hat gestritten;se disputer;;to fight;(to bicker);
tragen;trägt;trug;hat getragen;porter;;to carry;;
treffen;trifft;traf;hat getroffen;atteindre;rencontrer;to reach;to meat;
trinken;trinkt;trank;hat getrunken;boire;;to drink;;
um/ziehen;zieht...um;zog...um;ist umgezogen;déménager;;to move;(in/out);
vergessen;vergisst;vergass;hat vergessen;oublier;;to forget;;
verlieren;verliert;verlor;hat verloren;perdre;(quelquechose);to loose;(something);
verschwinden;verschwindet;verschwand;ist verschwunden;disparaître;(de quelquepart);disapear;(from somewhere);
verstehen;versteht;verstand;hat verstanden;comprendre;(quelquechose);to understand;(something);
vor/werfen;wirft...vor;warf...vor;hat vorgeworfen;reprocher;accuser quelqu'un;to blame;(somebody);
wachsen;wächst;wuchs;ist gewachsen;croître;pousser/grandir;to grow;;
waschen;wäscht;wusch;hat gewaschen;laver;(des vêtements/...);to wash;(clothes/...);
werden;wird;wurde;ist geworden;devenir;;to become;;
